userId,role,accountId,passwordHash,fullName,studentId,department,major,email,phone,skills,cvFilePath,approvalStatus,enabled,createdAt
ADM_1775661587158_1,ADMIN,admin,e86f78a8a3caf0b60d8e74e5942aa6d86dc150cd3c03338aef25b7d2d7e3acc7,System Admin,,System,,admin@bupt.edu.cn,13194587388,,,APPROVED,true,2026-04-08T23:19:47.186230
TA_1775661872788_2,TA,12345678,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,TAtest,20231111,,IOT,12345678@qq.com,13617717603,Familiar with ESP32 and FreeRTOS,data/cv/TA_1775661872788_2/cv.docx,APPROVED,true,2026-04-08T23:24:32.788940300
MO_1775665335271_1,MO,MOtest,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,LGL,,IOT,,1718030752@qq.com,19177186109,,,APPROVED,true,2026-04-09T00:22:15.273462800
TA_1775666534144_1,TA,TAtest,e24df920078c3dd4e7e8d2442f00e5c9ab2a231bb3918d65cc50906e49ecaef4,testLogin,121212,,EE,23333@qq.com,19177186109,Circuit analysis and FPGA programming,,APPROVED,true,2026-04-09T00:42:14.160835500
TA_1775749015108_1,TA,TAtest2,e24df920078c3dd4e7e8d2442f00e5c9ab2a231bb3918d65cc50906e49ecaef4,lll,213231,,IOT,123232@qq.com,19177186109,Solid knowledge in IOT subjects; Good communication skills,,APPROVED,true,2026-04-09T23:36:55.124266300
MO_1775833260502_1,MO,123123123,a3b468bba583d875a3651c41e7b6e975d3c228f980f0626331deba1bbcd374d7,123,,IOT,,123@asd.com,13144444444,,,APPROVED,true,2026-04-10T23:01:00.506282600
TA_1775977712119_1,TA,testTA01,79dc87f39fcb677d6dd5ced276930f36470f8c7b30a997584b3e6f4de6b31818,Zou,123,IOT,IOT,123@qq.com,18259001439,Proficient in C/C++ programming; familiar with STM32 MCU development,,APPROVED,true,2026-04-12T15:08:32.181287600
ADM_1775661587158_1,ADMIN,Admin2,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,System Admin,,System,,admin@bupt.edu.cn,123123,,,APPROVED,true,2026-04-08T23:19:47.186230
MO_2026051600001_1,MO,alan_m,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Prof. Alan Turing,,IOT,,alan@bupt.edu.cn,13800000001,,,APPROVED,true,2026-05-16T10:00:00.000000
MO_2026051600002_1,MO,ada_m,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Dr. Ada Lovelace,,EE,,ada@bupt.edu.cn,13800000002,,,APPROVED,true,2026-05-16T10:05:00.000000
TA_2026051600003_1,TA,bob_ta,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Bob Chen,20230001,,IST,bob@bupt.edu.cn,13800000003,Python programming and Machine Learning,data/cv/mock/cv1.pdf,APPROVED,true,2026-05-16T10:10:00.000000
TA_2026051600004_1,TA,alice_ta,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Alice Wang,20230002,,TEM,alice@bupt.edu.cn,13800000004,Network Protocols and Hardware Debugging,data/cv/mock/cv2.pdf,APPROVED,true,2026-05-16T10:15:00.000000
TA_2026051600005_1,TA,charlie_ta,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Charlie Davis,20230003,,IOT,charlie@bupt.edu.cn,13800000005,Proficient in C/C++ programming; familiar with STM32 MCU development,data/cv/mock/cv3.pdf,APPROVED,true,2026-05-16T10:20:00.000000
MO_20260518_IST_1,MO,wang_ist,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Wang Wei,,IST,,wang@bupt.edu.cn,13800138000,,,APPROVED,true,2026-05-18T10:00:00
MO_20260518_EE_1,MO,liu_ee,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Liu Yang,,EE,,liu@bupt.edu.cn,13800138001,,,APPROVED,true,2026-05-18T10:00:00
MO_20260518_IOT_1,MO,zhang_iot,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Zhang San,,IOT,,zhang@bupt.edu.cn,13800138002,,,APPROVED,true,2026-05-18T10:00:00
TA_20260518_IST_1,TA,zhao_ist,ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f,Zhao Li,20230001,,IST,zhao@qq.com,13900139001,Good at Python programming with solid machine learning fundamentals; familiar with PyTorch framework; scored 98 in Python last semester; patient with strong communication skills.,data/cv/TA_20260518_IST_1/cv.pdf,APPROVED,true,2026-05-18T10:00:00
